feature,importance
wet_bulb_temp,0.9626570437853077
humidity,0.03726152222724428
solar_radiation,3.0792695417569286e-05
pressure,1.008219271629567e-05
Wind Direction,9.040130494792994e-06
hour,7.357518866762474e-06
Maximum Wind Speed,7.227298674486135e-06
wind_speed,6.732888608053779e-06
day_of_week,5.326271319077509e-06
month,4.383913293606703e-06
Rain Intensity,4.910780575399103e-07
